epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,399.895,2.10353,2.80713,1.88688,0.29325,0.25733,0.1834,0.0706,2.15373,2.64954,1.90615,0.00997904,0.00332635,0.00997904,0.00332635,0.00997904,0.00332635,0.00997904,0.00332635
2,763.224,2.06877,2.4477,1.83188,0.23901,0.23826,0.15405,0.05328,2.27332,3.78705,2.13106,0.0197812,0.00659375,0.0197812,0.00659375,0.0197812,0.00659375,0.0197812,0.00659375
3,1115.16,2.17831,2.65844,1.95681,0.20298,0.20597,0.08853,0.02946,2.47626,3.79943,2.27219,0.0293855,0.00979515,0.0293855,0.00979515,0.0293855,0.00979515,0.0293855,0.00979515
4,1463.42,2.20532,2.71872,2.00346,0.25019,0.23555,0.13681,0.0459,2.31622,3.04367,2.20984,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1810.15,2.13314,2.58908,1.96342,0.35208,0.26573,0.20722,0.0771,2.16848,2.67643,2.0528,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2155.79,2.07503,2.4916,1.89776,0.30364,0.29557,0.23912,0.09342,2.09179,2.43525,1.98697,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2501.5,2.01826,2.38057,1.85772,0.3687,0.31407,0.26413,0.1069,2.05252,2.38532,1.93969,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2846.94,1.98566,2.31612,1.82393,0.35757,0.32527,0.26639,0.10887,2.0104,2.35718,1.96006,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3192.05,1.96366,2.27861,1.81038,0.40166,0.36321,0.31181,0.12991,1.98883,2.19254,1.87971,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3537.63,1.94429,2.23109,1.79875,0.41677,0.36111,0.32145,0.13739,1.98176,2.17026,1.90732,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3883.91,1.91227,2.18509,1.7743,0.47183,0.3713,0.35087,0.15138,1.92483,2.11062,1.8421,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4239.79,1.89041,2.13661,1.74851,0.45115,0.39681,0.36396,0.15543,1.93879,2.07007,1.83185,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4586.34,1.88202,2.12231,1.74797,0.43913,0.39074,0.35921,0.15232,1.91525,2.06806,1.83102,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4931.56,1.86384,2.08022,1.73035,0.47803,0.39473,0.36903,0.16006,1.89443,2.02808,1.8255,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5277.93,1.84773,2.02236,1.71551,0.46361,0.4193,0.3882,0.16111,1.91601,1.99061,1.81342,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5624.43,1.83303,2.01438,1.71214,0.49155,0.40625,0.39607,0.16961,1.89434,2.00079,1.79659,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5970.7,1.82948,1.99418,1.70347,0.47582,0.43462,0.40968,0.18004,1.87786,1.93703,1.78063,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,6316.86,1.81111,1.97622,1.68752,0.52561,0.42,0.41767,0.18686,1.85831,1.93321,1.77442,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6663.4,1.79383,1.94642,1.67714,0.5016,0.42665,0.4256,0.18924,1.84808,1.90689,1.76909,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,7010.02,1.79859,1.92452,1.67152,0.5091,0.44615,0.42986,0.19033,1.8623,1.849,1.79043,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,7356.13,1.77584,1.90956,1.6593,0.52318,0.43615,0.44694,0.19954,1.83342,1.82519,1.75546,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
